,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
empty_ng_plus_desc,"Once again......",,,,,,,,"再一次......",,,,,,,,,,,,,,,
empty_teleport_pyramid,"Portal to top of Pyramid",,,,,,,,"去往 金字塔顶 的传送门",,,,,,,,,,,,,,,
actiondesc_empty_colorful_departure,"Repeat following effects in order until no spell in graveyard or { DEPARTURE count } >= ( 2 × total number of spells in this wand ):\n1. cast first spell in graveyard with no draw, { DEPARTURE count } +1\nbut if first spell in graveyard is [ ! ? DEPARTURE ? ! ] or [ RESET ]: skip entire 1.\n2. return first spell in graveyard to deck\nignore impact of spells cast in 1. on mana, fire rate wait and reload time\nspecifically, initial value of { DEPARTURE count } is 0",,,,,,,,"直到墓地没有法术存在或 { 离去计数 } >= ( 2 × 法杖内法术总数 ) 为止, 以下效果依次重复适用:\n1. 禁抽地释放墓地第 1 个法术, { 离去计数 } +1\n如果墓地第 1 个法术是 [ ! ? 离去 ? ! ] 或 [ 魔杖刷新 ]: 改为跳过整个 1.\n2. 将墓地第 1 个法术返回卡组\n无视 1. 中释放的法术对法力、施法延迟、充能时间的影响\n特别地, { 离去计数 } 初始值为 0",,,,,,,,,,,,,,,,
action_empty_colorful_return,"! ? RETURN ? !",,,,,,,,"! ? 归来 ? !",,,,,,,,,,,,,,,,
actiondesc_empty_colorful_return,"Repeat following effects in order until no spell in hand or { RETURN count } >= ( 2 × total number of spells in this wand ):\n1. cast first spell in hand with no draw, { RETURN count } +1\nbut if first spell in hand is [ ! ? RETURN ? ! ] or [ RESET ]: skip entire 1.\n2. if { RETURN count } is:\n· odd: send first spell in hand to graveyard, { discard count } +1\n· even: return first spell in hand to deck\nignore impact of spells cast in 1. on mana, fire rate wait and reload time\nafter that, if { discard count } > 0: return first { discard count } spells from graveyard to front of deck by preserving order\nafter that, if { RETURN count } > 0: draw { RETURN count }\nspecifically, initial value of { RETURN count } and { discard count } is 0",,,,,,,,"直到手卡没有法术存在或 { 归来计数 } >= ( 2 × 法杖内法术总数 ) 为止, 以下效果依次重复适用:\n1. 禁抽地释放手卡第 1 个法术, { 归来计数 } +1\n如果手卡第 1 个法术是 [ ! ? 归来 ? ! ] 或 [ 魔杖刷新 ]: 改为跳过整个 1.\n2. 如果 { 归来计数 } 是:\n· 奇数: 将手卡第 1 个法术送去墓地, { 弃牌计数 } +1\n· 偶数: 将手卡第 1 个法术返回卡组\n无视 1. 中释放的法术对法力、施法延迟、充能时间的影响\n那之后, 如果 { 弃牌计数 } > 0: 将墓地前 { 弃牌计数 } 个法术保持顺序返回卡组前面\n那之后, 如果 { 归来计数 } > 0: 抽 { 归来计数 }\n特别地, { 归来计数 } 与 { 弃牌计数 } 初始值为 0",,,,,,,,,,,,,,,,
item_wand_starting_wand_blue,"Starting Wand: Blue",,,,,,,,"初始蓝杖",,,,,,,,,,,,,,,,
item_wand_starting_wand_red,"Starting Wand: Red",,,,,,,,"初始红杖",,,,,,,,,,,,,,,,
status_hearty,Heartache,Инфаркт,Mágoa,Angustia,Herzschmerz,Cœur brisé,Crepacuore,Ból serca,心绞痛,心痛,아픈 가슴,,,,,,,,,,,,,
animal_playerghost,Kummitus,Куммитус,,,,,,,历史幻影,クッミタス,쿠미투스,,,,,,,,,,,,,
action_hook,Hookbolt,Снаряд-крюк,Gancho-raio,Rayo gancho,Blitzhaken,Crochet-aimant,Gancio lampo,Pocisk haku,钩爪,フックボルト,후크볼트,,,,,,,,,,,,,
action_black_hole_death_trigger,Black hole with death trigger,Черная дыра и семя смерти,Buraco negro com gatilho de morte,Agujero negro con detonador mortal,Schwarzes Loch mit Todauslöser,Trou noir avec chant du cygne,Buco nero con attivatore di morte,Czarna dziura z wyzwalaczem,带有失效触发的黑洞,デストリガー付きのブラックホール,죽음의 방아쇠 블랙홀,,,,,,,,,,,,,,
actiondesc_black_hole_death_trigger,A slow orb of void that eats through all obstacles and cast another spell as it expires,"Медленный шар пустоты,пожирающий препятствия и по окончании срока действия вызывающий другое заклинание",Um orbe de limbo lento que suga todos os obstáculos e conjura outro feitiço quando ele acaba.,Un orbe lento de vacío que se come todos los obstáculos y lanza otro hechizo al desaparecer,"Eine langsame Kugel der Leere, die sich durch alle Hindernisse frisst und bei Ablauf einen weiteren Zauber wirkt",Un orbe de néant lent qui dévore tous les obstacles et lance un autre sort en expirant,Un orbe di vuoto lento che divora tutti gli ostacoli e lancia un altro incantesimo al termine dell'effetto,"Powolna kula pustki, która pochłania wszystkie przeszkody, a po wygaśnięciu rzuca kolejne zaklęcie","缓慢的虚无球体, 会吞噬沿路的一切障碍, 并在失效时释放另一法术",全ての障害物を飲み込んで、時間切れになったら別の呪文を詠唱するゆっくりとした空間のオーブ,"모든 장애물을 먹어치우는 느린 공허의 오브로,소멸하면 또 다른 주문을 시전합니다.",,,,,,,,,,,,,,
action_mine_death_trigger,Unstable crystal with trigger,Нестабильный кристалл с активацией,Cristal instável de ativação,Cristal inestable activado,Instabiler Kristall mit Auslöser,Cristal instable à déclenchement,Cristallo instabile con attivatore,Niestabilny kryształ z wyzwalaczem,带有失效触发的不稳晶体,トリガー付きの不安定なクリスタル,트리거가 있는 불안정한 수정,,,,,,,,,,,,,,
actiondesc_mine_death_trigger,A crystal that explodes and cast another spell when someone comes nearby,"Кристалл,который взрывается и вызывает другое заклинание при приближении к нему",Um cristal que explode e lança outro feitiço quando alguém se aproxima dele.,Un cristal que explota y lanza otro hechizo cuando alguien se acerca,"Ein Kristall, der explodiert und einen weiteren Zauber auslöst, wenn jemand in seine Nähe kommt",Un cristal qui explose et lance un autre sort quand quelqu'un s'en approche,Un cristallo che esplode e lancia un altro incantesimo quando qualcuno vi si avvicina.,"Kryształ, który wybucha, gdy ktoś się do niego zbliży, i rzuca przy tym kolejne zaklęcie","有人来到近旁便会爆炸, 同时释放另一法术的晶体",誰かが近くに来ると爆発し、もう 1 つの呪文をかけるクリスタル,누군가 가까이 오면 폭발하고 주문을 시전하는 수정입니다,,,,,,,,,,,,,,
action_pipe_bomb_death_trigger,Dormant crystal with trigger,Дремлющий кристалл с активацией,Cristal dormente de ativação,Cristal durmiente activado,Inaktiver Kristall mit Auslöser,Cristal dormant à déclenchement,Cristallo dormiente con attivatore,Uśpiony kryształ z wyzwalaczem,带有失效触发的休眠晶体,トリガー付きの休眠クリスタル,트리거가 있는 휴면 상태 수정,,,,,,,,,,,,,,
actiondesc_pipe_bomb_death_trigger,A crystal that explodes and cast another spell when caught in an explosion,"Кристалл,который взрывается и вызывает другое заклинание,если его затрагивает взрыв",Um cristal que explode e lança outro é feitiço quando atingido por outra explosão.,Un cristal que explota y lanza otro hechizo cuando le alcanza otra explosión,"Ein Kristall, der explodiert und einen weiteren Zauber auslöst, wenn er von einer anderen Explosion getroffen wird",Un cristal qui explose et lance un autre sort une fois pris dans une autre explosion,Un cristallo che esplode e lancia un altro incantesimo quando viene coinvolto in un'esplosione.,"Kryształ, który wybucha, gdy znajdzie się w innym wybuchu, i rzuca przy tym kolejne zaklęcie","被爆炸波及便会爆炸, 同时释放另一法术的晶体",他の爆破に巻き込まれた時に爆発し、もう 1 つの呪文をかけるクリスタル,다른 폭발에 휘말리면 함께 폭발하며 주문을 시전하는 수정입니다.,,,,,,,,,,,,,,
action_summon_egg_death_trigger,Summon egg with death trigger,Призыв пустого яйца,Evocar ovo oco,Invocar huevo vacío,Beschwörung eines hohlen Eis,Invocation d'œuf creux,Uovo vuoto,Przywołanie pustego jaja,召唤带有失效触发的蛋,空の卵の召喚,텅 빈 알 소환,,,,,,,,,,,,,
actiondesc_summon_egg_death_trigger,Summons an egg with death trigger that cast a spell upon cracking open,,,,,,,,"召唤一个带有失效触发的蛋, 可被拾起, 在碎裂时释放另一法术",,,,,,,,,,,,,,,
streamingevent_rain_worm,Worm Rain,Дождь из червей,Chuva de vermes,Lluvia de gusanos,Wurmregen,Pluie de vers,Pioggia di vermi,Deszcz robaków,蠕虫雨,蠕虫の雨,애벌레 비,,,,,,,,,,,,,
action_duplicate,2×,2×,2×,2×,2×,2×,2×,2×,2×,2×,2×,,,,,,,,,,,,,,
actiondesc_duplicate,"Casts every spell which is not [ 2× ] or [ RESET ] in hand\nafter that, draw 1",,,,,,,,"依次释放手卡中的每个不为 [ 2× ] 或 [ 魔杖刷新 ] 的法术\n那之后, 抽 1",一つ前に詠唱したすべての呪文を複製する,시전하기 전에 주문을 항상 복제합니다.,,,,,,,,,,,,,,
action_reset,RESET,Обновление жезла,Atualizar varinha,Actualizar varita,Zauberstab auffrischen,Actualiser baguette,Aggiorna bacchetta,Odświeżenie różdżki,魔杖刷新,杖のリフレッシュ,완드 갱신,,,,,,,,,,,,,,
actiondesc_reset,"Send all spells from hand and deck to graveyard, then return all spells in graveyard to deck\nwhen this spell cast twice or more in same casting: wand be forced enter reload phase instead",Мгновенно перезаряжает жезл,Recarrega a varinha imediatamente,Recarga la varita al instante,Lädt den Zauberstab sofort auf,Recharge la baguette immédiatement,Ricarica immediatamente la bacchetta,Natychmiast odświeża różdżkę,"将手卡、卡组全部法术送去墓地, 让墓地的全部法术按原本顺序回到卡组\n在同 1 次施法中释放 2 次以上时: 改为强制进入充能冷却",杖をただちにリロードします,완드를 즉시 재장전합니다,,,,,,,,,,,,,,
menupause_modsused," Blackhole Catgirl: # Peeking...... # ",Использование модов: да,Uso de mods: sim,Modificadores en uso: sí,Mods verwendet: ja,Mods utilisés : oui,Mod usate: sì,Użyto modów: tak," 黑洞猫娘：# 正在窥屏...... # ",モッド使用：はい,모드 사용: 예,,,,,,,,,,,,,,
empty_also_heal_extra_text,", and get heal for amount by which your max health increased",,,,,,,,", 并得到等同于增加的生命上限值的治疗",,,,,,,,,,,,,,,,
empty_death_msg_curse_monk,Break monks' precept ( CURSE: Monk ),,,,,,,,违反戒律 ( 诅咒: 和尚 ),,,,,,,,,,,,,,,,
empty_death_msg_cursor_teleport,Slit position ( Cursor teleport ),,,,,,,,裂位 ( 光标传送 ),,,,,,,,,,,,,,,,
empty_command_random_get_success,Get $0 from < NUMBER[ ] > randomly,,,,,,,,从 < 数值[ ] > 中随机地获取值 $0,,,,,,,,,,,,,,,
empty_command_get_first_success,"Get value at index $0 from start of < NUMBER[ ] > , it's $1",,,,,,,,"从 < 数值[ ] > 中获取顺数第 $0 个值, 为 $1",,,,,,,,,,,,,,,
empty_command_get_last_success,"Get value at index $0 from end of < NUMBER[ ] > , it's $1",,,,,,,,"从 < 数值[ ] > 中获取倒数第 $0 个值, 为 $1",,,,,,,,,,,,,,,
empty_command_variable_get_success,"Variable $0 = $1",,,,,,,,"变量 $0 = $1",,,,,,,,,,,,,,,,
empty_command_variable_set_success,"Variable $0 is set to $1",,,,,,,,"变量 $0 被设为 $1",,,,,,,,,,,,,,,,
empty_command_explode_tar_success,"Generated 1 explosion at each of $0 entities with radius $1",,,,,,,,"在 $0 个实体处各生成了 1 次半径为 $1 的爆炸",,,,,,,,,,,,,,,,
empty_command_explode_xy_success,"Generated 1 explosion at x = $0, y = $1 with radius $2",,,,,,,,"在 x = $0, y = $1 处生成了 1 次半径为 $2 的爆炸",,,,,,,,,,,,,,,,
empty_command_tp_success,"Teleport $0 entitie(s) to x = $1, y = $2 ",,,,,,,,"传送 $0 个实体至 x = $1, y = $2 ",,,,,,,,,,,,,,,
empty_command_projectile_change_success,"$0 component(s) of projectile be changed",,,,,,,,"$0 个投射物的组件被更改",,,,,,,,,,,,,,,,
empty_command_at_error_no_such_entity,Select 0 entities,,,,,,,,选择了 0 个实体,,,,,,,,,,,,,,,,
empty_command_tp_error_target_not_found,"Target ( $0 ) not found, can't teleport",,,,,,,,"目标 ( $0 ) 未找到, 无法传送",,,,,,,,,,,,,,,,
empty_command_tp_error_no_entity_can_tp,"No entity can teleport",,,,,,,,"无实体可传送",,,,,,,,,,,,,,,,
empty_command_error_wrong_para_type,"Wrong para type, need < $0 >, get < $1 >",,,,,,,,"参数类型错误, 需要 < $0 > 类型, 得到 < $1 > 类型",,,,,,,,,,,,,,,,
empty_command_error_index_out_of_range,"Index $0 out of range of < NUMBER[ ] > ( $1 )",,,,,,,,"索引 $0 超出 < 数值[ ] > 的范围 ( $1 )",,,,,,,,,,,,,,,,
empty_command_error_no_para_content,"Para $0 have no content",,,,,,,,变量 $0 无内容,,,,,,,,,,,,,,,,
empty_command_error_continuous_operator,Continuous operator,,,,,,,,连续运算符,,,,,,,,,,,,,,,,
empty_command_error_invalid_number,Invalid number ( $0 ),,,,,,,,无效数字 ( $0 ),,,,,,,,,,,,,,,,
empty_command_error_need_operator_here,"Need operator at '$0 → ← $1 '",,,,,,,,"此处需要运算符 '$0 → ← $1 '",,,,,,,,,,,,,,,,
empty_command_error_paras_overflow,"Require max $0 paras, get $1",,,,,,,,"最大需要 $0 个参数, 接受了 $1 个",,,,,,,,,,,,,,,,
empty_command_error_function_syntax_error,Syntax error,,,,,,,,语法错误,,,,,,,,,,,,,,,,
empty_command_error_multi_table_calc,"Multiple < NUMBER[ ] >",,,,,,,,"多重 < NUMBER[ ] >",,,,,,,,,,,,,,,,
empty_command_error_empty_table,"Empty < NUMBER[ ] >",,,,,,,,"< NUMBER[ ] > 为空",,,,,,,,,,,,,,,,
empty_command_error_empty_result,"Empty result",,,,,,,,"无结果",,,,,,,,,,,,,,,,
empty_command_error_lack_paras,"Insufficient paras ( $0 at least, get $1 )",,,,,,,,"参数过少 ( 至少 $0 个, 得到 $1 个 )",,,,,,,,,,,,,,,,
empty_command_error_no_projectile_change,"No component of projectile be changed",,,,,,,,"无投射物的组件被更改",,,,,,,,,,,,,,,,
empty_title_furious_cocktail,"Furious Cocktail",,,,,,,,"狂乱的鸡尾酒",,,,,,,,,,,,,,,,
empty_title_effect_display_random,"Random Effect: [ $0 ]",,,,,,,,"随机效果: [ $0 ]",,,,,,,,,,,,,,,,
status_edit_wands_everywhere,"Tinker with Wands Everywhere",,,,,,,,"随时编辑法杖",,,,,,,,,,,,,,,,
statusdesc_edit_wands_everywhere,"You can tinker with wands everywhere",,,,,,,,"你可以随时编辑法杖",,,,,,,,,,,,,,,,
status_no_wand_editing,"No Wand Tinkering",,,,,,,,"法杖无法编辑",,,,,,,,,,,,,,,,
statusdesc_no_wand_editing,"Wands cannot be tinkered with",,,,,,,,"法杖无法被编辑",,,,,,,,,,,,,,,,
status_protection_all,"Protection of ALL Damage",,,,,,,,"伤害免疫",,,,,,,,,,,,,,,,
statusdesc_protection_all,"You take no damage from all damage",,,,,,,,"你免疫所有伤害",,,,,,,,,,,,,,,,
status_protection_melee,"Protection of Melee",,,,,,,,"近战免疫",,,,,,,,,,,,,,,,
statusdesc_protection_melee,"You take no damage from melee",,,,,,,,"你免疫近战伤害",,,,,,,,,,,,,,,,
status_melee_counter,"Melee Counter",,,,,,,,"近战弹反",,,,,,,,,,,,,,,,
statusdesc_melee_counter,"Creatures that melee you take damage from that melee attack",,,,,,,,"对你发起近战的生物受到那次近战攻击的伤害",,,,,,,,,,,,,,,,
status_protection_projectile,"Protection of Projectile",,,,,,,,"投射物免疫",,,,,,,,,,,,,,,,
statusdesc_protection_projectile,"You take no damage from projectile",,,,,,,,"你免疫投射物伤害",,,,,,,,,,,,,,,,
status_protection_explosion,"Protection of Explosion",,,,,,,,"爆炸免疫",,,,,,,,,,,,,,,,
statusdesc_protection_explosion,"You take no damage from explosion",,,,,,,,"你免疫爆炸伤害",,,,,,,,,,,,,,,,
status_protection_fire,"Protection of Fire",,,,,,,,"火焰免疫",,,,,,,,,,,,,,,,
statusdesc_protection_fire,"You take no damage from fire",,,,,,,,"你免疫火焰伤害",,,,,,,,,,,,,,,,
status_on_fire,"On Fire!",,,,,,,,"着火!",,,,,,,,,,,,,,,,
statusdesc_on_fire,"You're on fire!",,,,,,,,"你被点燃了!",,,,,,,,,,,,,,,,
status_internal_fire,"Internal fire",,,,,,,,"内火自燃",,,,,,,,,,,,,,,,
statusdesc_internal_fire,"You're burning inside",,,,,,,,"你由内而外燃烧",,,,,,,,,,,,,,,,
status_protection_electricity,"Protection of Electricity",,,,,,,,"雷电免疫",,,,,,,,,,,,,,,,
statusdesc_protection_electricity,"You take no damage from electricity",,,,,,,,"你免疫雷电伤害",,,,,,,,,,,,,,,,
status_stun_protection_electricity,"Protection of Stun from Electricity",,,,,,,,"麻痹免疫",,,,,,,,,,,,,,,,
statusdesc_stun_protection_electricity,"You can't be paralyzed",,,,,,,,"你不会被麻痹",,,,,,,,,,,,,,,,
status_electrocution,"Paralyzed",,,,,,,,"麻痹",,,,,,,,,,,,,,,,
statusdesc_electrocution,"You are paralyzed by electricity",,,,,,,,"你被雷电麻痹了",,,,,,,,,,,,,,,,
status_protection_freeze,"Protection of Ice",,,,,,,,"寒冰免疫",,,,,,,,,,,,,,,,
statusdesc_protection_freeze,"You take no damage from Ice",,,,,,,,"你免疫寒冰伤害",,,,,,,,,,,,,,,,
status_stun_protection_freeze,"Protection of Stun from Freeze",,,,,,,,"冻结免疫",,,,,,,,,,,,,,,,
statusdesc_stun_protection_freeze,"You can't be frozen",,,,,,,,"你不会被冻结",,,,,,,,,,,,,,,,
status_frozen_speed_up,"Freeze to Speed Up",,,,,,,,"冻结提速",,,,,,,,,,,,,,,,
statusdesc_frozen_speed_up,"When frozen: increase movement speed instead",,,,,,,,"受到冻结时: 作为代替让移动速度提升",,,,,,,,,,,,,,,,
status_internal_ice,"Cold",,,,,,,,"寒冷",,,,,,,,,,,,,,,,
statusdesc_internal_ice,"Movement is difficult",,,,,,,,"移动很艰难",,,,,,,,,,,,,,,,
status_frozen,"Freeze",,,,,,,,"冻结",,,,,,,,,,,,,,,,
statusdesc_frozen,"You are frozen",,,,,,,,"你被冻住了",,,,,,,,,,,,,,,,
status_protection_radioactivity,"Protection of Radioactive",,,,,,,,"绿毒免疫",,,,,,,,,,,,,,,,
statusdesc_protection_radioactivity,"You take no damage from radioactive",,,,,,,,"你免疫绿毒伤害",,,,,,,,,,,,,,,,
status_radioactive,"Radioactive",,,,,,,,"绿毒",,,,,,,,,,,,,,,,
statusdesc_radioactive,"Radioactive sludge in your clothes makes your health degrade slowly\nwet clothes protect you from fire",,,,,,,,"绿毒侵入你的衣服, 令你的生命缓慢降低\n潮湿的衣服保护你免受火焰伤害",,,,,,,,,,,,,,,,
status_allergy_radioactive,"Remove Radioactive ",,,,,,,,"移除绿毒防护",,,,,,,,,,,,,,,,
statusdesc_allergy_radioactive,"Toxic sludge can cause death to you",,,,,,,,"绿毒可毒杀你",,,,,,,,,,,,,,,,
status_poison,"Poison",,,,,,,,"紫毒",,,,,,,,,,,,,,,,
statusdesc_poison,"Poison sludge in your clothes makes your health degrade slowly\nwet clothes protect you from fire",,,,,,,,"紫毒侵入你的衣服, 令你的生命缓慢降低\n潮湿的衣服保护你免受火焰伤害",,,,,,,,,,,,,,,,
status_no_slime_slowdown,"No Slime Slowdown",,,,,,,,"粘液不减速",,,,,,,,,,,,,,,,
statusdesc_no_slime_slowdown,"You can't be slowed by slime",,,,,,,,"你不会被粘液减速",,,,,,,,,,,,,,,,
status_protection_polymorph,"Protection of Polymorph",,,,,,,,"变形免疫",,,,,,,,,,,,,,,,
statusdesc_protection_polymorph,"You are immune to polymorph",,,,,,,,"你免疫变形",,,,,,,,,,,,,,,,
status_polymorph,"Polymorph",,,,,,,,"变羊",,,,,,,,,,,,,,,,
statusdesc_polymorph,"You are polymorphed to a sheep",,,,,,,,"你变成了一只羊",,,,,,,,,,,,,,,,
status_polymorph_unstable,"Unstable Polymorph",,,,,,,,"不稳变形",,,,,,,,,,,,,,,,
statusdesc_polymorph_unstable,"Polymorphed into random Hiisi, what could it be?",,,,,,,,"变形为随机席西, 会是什么呢?",,,,,,,,,,,,,,,,
status_polymorph_random,"Random Polymorph",,,,,,,,"随机变形",,,,,,,,,,,,,,,,
statusdesc_polymorph_random,"Polymorphed into random creature, what could it be?",,,,,,,,"变形为随机生物, 会是什么呢?",,,,,,,,,,,,,,,,
status_polymorph_cessation,"CESSATION",,,,,,,,"不复存在",,,,,,,,,,,,,,,,
statusdesc_polymorph_cessation,"......",,,,,,,,"......",,,,,,,,,,,,,,,,
status_protection_during_telepor,"Protection of teleportation",,,,,,,,"传送免疫",,,,,,,,,,,,,,,,
statusdesc_protection_during_telepor,"You can't be teleported",,,,,,,,"你不会被传送",,,,,,,,,,,,,,,,
status_teleportation,"Teleportation",,,,,,,,"传送",,,,,,,,,,,,,,,,
statusdesc_teleportation,"You teleport uncontrollably every now and then",,,,,,,,"你的传送不时失去控制",,,,,,,,,,,,,,,,
status_teleportitis,"Teleportitis",,,,,,,,"快速传送",,,,,,,,,,,,,,,,
statusdesc_teleportitis,"You teleport away every time you're hurt",,,,,,,,"每次受到伤害时，传送自身",,,,,,,,,,,,,,,,
status_unstable_teleportation,"Unstable Teleportation",,,,,,,,"混乱传送",,,,,,,,,,,,,,,,
statusdesc_unstable_teleportation,"You teleport uncontrollably every now and then",,,,,,,,"你的传送不时失去控制",,,,,,,,,,,,,,,,
status_knockback_immunity,"Protection of Knockback",,,,,,,,"击退免疫",,,,,,,,,,,,,,,,
statusdesc_knockback_immunity,"Enemies can no longer knock you back",,,,,,,,"敌人不再可将你击退",,,,,,,,,,,,,,,,
status_knockback,"Knockback",,,,,,,,"击退",,,,,,,,,,,,,,,,
statusdesc_knockback,"You have been knockbacked",,,,,,,,"你被击退了",,,,,,,,,,,,,,,,
status_iron_stomach,"Iron Stomach",,,,,,,,"铁胃",,,,,,,,,,,,,,,,
statusdesc_iron_stomach,"You won't suffer from negative effects of eating",,,,,,,,"你不会因食用材料而受到负面效果",,,,,,,,,,,,,,,,
status_protection_food_poisoning,"Protection of Food Poisoning",,,,,,,,"食物中毒免疫",,,,,,,,,,,,,,,,
statusdesc_protection_food_poisoning,"You are immune to [ Food Poison ] effect",,,,,,,,"你不受 [ 食物中毒 ] 效果影响",,,,,,,,,,,,,,,,
status_food_poisoning,"Food Poisoning",,,,,,,,"食物中毒",,,,,,,,,,,,,,,,
statusdesc_food_poisoning,"You're feeling sick\nNothing stays inside",,,,,,,,"你感觉很难受\n能吐的东西全吐了",,,,,,,,,,,,,,,,
status_stains_drop_faster,"Stains Drop Faster",,,,,,,,"驱散斗篷",,,,,,,,,,,,,,,,
statusdesc_stains_drop_faster,"When moving: stains drop at a fast rate",,,,,,,,"移动时: 沾染效果褪去的速度提升",,,,,,,,,,,,,,,,
status_invisibility,"Invisible",,,,,,,,"隐形",,,,,,,,,,,,,,,,
statusdesc_invisibility,"You are now invisible\ncasting spells, kicking, or receiving other stain effects will temporarily disable invisibility",,,,,,,,"你隐形了\n发射法术、踢击或受到其他沾染效果会令隐形暂时失效",,,,,,,,,,,,,,,,
status_wet,"Wet",,,,,,,,"潮湿",,,,,,,,,,,,,,,,
statusdesc_wet,"Wet clothes protect you from fire",,,,,,,,"潮湿的衣服保护你免受火焰伤害",,,,,,,,,,,,,,,,
status_bloody,"Bloody",,,,,,,,"染血",,,,,,,,,,,,,,,,
statusdesc_bloody,"Bloody clothes protect you from fire\nyou sense an increased chance of attaining critical hits",,,,,,,,"染血的衣服保护你免受火焰伤害\n你感觉自己更容易打出暴击",,,,,,,,,,,,,,,,
status_slimy,"Slimy",,,,,,,,"粘液",,,,,,,,,,,,,,,,
statusdesc_slimy,"Slimy clothes protect you from fire\nmucus makes moving around difficult",,,,,,,,"沾染粘液的衣服保护你免受火焰伤害\n黏答答的粘液令移动更加困难",,,,,,,,,,,,,,,,
status_charm,"Charm",,,,,,,,"魅惑",,,,,,,,,,,,,,,,
statusdesc_charm,"A charm affects you",,,,,,,,"你受到迷惑影响",,,,,,,,,,,,,,,,
status_oiled,"Oiled",,,,,,,,"油液",,,,,,,,,,,,,,,,
statusdesc_oiled,"Oil makes you slippery and more flammable",,,,,,,,"油会令你行动打滑, 并且更容易着火",,,,,,,,,,,,,,,,
status_drunk,"Alcoholic",,,,,,,,"醉酒",,,,,,,,,,,,,,,,
statusdesc_drunk,"Heavy scent of booze oozes of your clothes, aiming is disturbed\nand alcohol is flammable!",,,,,,,,"你的衣服散发出浓重的酒气, 瞄准受到影响\n同时酒精也非常易燃!",,,,,,,,,,,,,,,,
status_jarate,"Jarater",,,,,,,,"瓶手道",,,,,,,,,,,,,,,,
statusdesc_jarate,"Wet clothes protect you from fire\nyou sense an increased danger of receiving a critical hit",,,,,,,,"潮湿的衣服保护你免受火焰伤害\n你感觉自己更容易被打出暴击",,,,,,,,,,,,,,,,
status_confusion,"Confusion",,,,,,,,"混乱",,,,,,,,,,,,,,,,
statusdesc_confusion,"You feel confused",,,,,,,,"你感到天旋地转",,,,,,,,,,,,,,,,
status_respawn,"+1 UP",,,,,,,,"+1 UP",,,,,,,,,,,,,,,,
statusdesc_respawn,"Upon death: you respawn with 100 health",,,,,,,,"死亡时: 你将以 100 生命值重生",,,,,,,,,,,,,,,,
status_saving_grace,"Saving Grace",,,,,,,,"死里逃生",,,,,,,,,,,,,,,,
statusdesc_saving_grace,"If you have more than 1 HP: your HP is set to 1 instead of death",,,,,,,,"如果你的生命值高于 1: 将生命值设为 1 代替死亡",,,,,,,,,,,,,,,,
status_stainless_armour,"Stainless Armor",,,,,,,,"光洁铠甲",,,,,,,,,,,,,,,,
statusdesc_stainless_armour,"If you have no active stain status effect: -50% damage you take",,,,,,,,"如果你没有沾染效果: -50% 你受到的伤害",,,,,,,,,,,,,,,,
status_regeneration,"Regeneration",,,,,,,,"生命恢复",,,,,,,,,,,,,,,,
statusdesc_regeneration,"You regen health rapidly",,,,,,,,"你快速地恢复生命",,,,,,,,,,,,,,,,
status_healing_blood,"Healing Blood",,,,,,,,"吸血术",,,,,,,,,,,,,,,,
statusdesc_healing_blood,"You can replenish health by drinking blood",,,,,,,,"你可以饮用血液补充生命值",,,,,,,,,,,,,,,,
status_weakness,"Weak",,,,,,,,"虚弱",,,,,,,,,,,,,,,,
statusdesc_weakness,"You feel weakened",,,,,,,,"你感觉被削弱了",,,,,,,,,,,,,,,,
status_no_heal,"Healing Ban",,,,,,,,"禁疗",,,,,,,,,,,,,,,,
statusdesc_no_heal,"You cannot be healed",,,,,,,,"你不能被治疗",,,,,,,,,,,,,,,,
status_remove_fog_of_war,"All-Seeing Eye",,,,,,,,"全视之眼",,,,,,,,,,,,,,,,
statusdesc_remove_fog_of_war,"You can see everywhere",,,,,,,,"你能看见所有地方",,,,,,,,,,,,,,,,
status_telepathy,"Telepathy",,,,,,,,"蠕虫全视",,,,,,,,,,,,,,,,
statusdesc_telepathy,"Test Effect",,,,,,,,"测试效果, 似乎类似于全视之眼",,,,,,,,,,,,,,,,
status_blindness,"Blindless",,,,,,,,"致盲",,,,,,,,,,,,,,,,
statusdesc_blindness,"You are nearly blind",,,,,,,,"你几乎目不能视",,,,,,,,,,,,,,,,
status_berserk,"Berserk",,,,,,,,"狂暴",,,,,,,,,,,,,,,,
statusdesc_berserk,"A berserk curse affects you",,,,,,,,"你受到狂暴诅咒影响",,,,,,,,,,,,,,,,
status_low_hp_damage_boost,"Living on Edge",,,,,,,,"刀尖舔血",,,,,,,,,,,,,,,,
statusdesc_low_hp_damage_boost,"Your spells deal 3× damage when you're under 25 HP or 25% of maximum health",,,,,,,,"生命值少于 25 或最大生命值的 25% 时，法术造成 3 倍伤害",,,,,,,,,,,,,,,,
status_critical_hit_boost,"Critical Hit +",,,,,,,,"暴击率 +",,,,,,,,,,,,,,,,
statusdesc_critical_hit_boost,"You get more critical hits",,,,,,,,"提高暴击概率",,,,,,,,,,,,,,,,
status_mana_regeneration,"Mana Regeneration",,,,,,,,"法力恢复",,,,,,,,,,,,,,,,
